Field1,经度,纬度,行政区
上海科技馆,121.5444,31.2188,浦东新区
杨高中路,121.5486,31.2274,浦东新区
源深体育中心,121.5346,31.2329,浦东新区
昌邑路,121.5402,31.244,浦东新区
源深路,121.531,31.2413,浦东新区
民生路,121.5435,31.2359,浦东新区
北洋泾路,121.5522,31.2391,浦东新区
歇浦路,121.5516,31.2508,浦东新区
国际客运中心,121.4982,31.2502,虹口区
浦东大道,121.5194,31.2404,浦东新区
大连路,121.5131,31.2579,虹口区
江浦公园,121.5238,31.2645,杨浦区
国权路,121.51,31.2892,杨浦区
抚顺路,121.5159,31.2837,杨浦区
复旦大学,121.4996,31.2963,杨浦区
上海财经大学,121.4964,31.3077,杨浦区
延吉中路,121.535,31.2885,杨浦区
爱国路,121.5526,31.2798,杨浦区
黄兴公园,121.5334,31.2954,杨浦区
翔殷路,121.532,31.3051,杨浦区
共青森林公园,121.5466,31.3147,杨浦区
市光路,121.532,31.3227,杨浦区
三门路,121.5084,31.3132,杨浦区
殷高东路,121.5068,31.3217,杨浦区
新江湾城,121.5069,31.3285,杨浦区
国和路,121.5201,31.3148,杨浦区
长江南路,121.4914,31.3321,宝山区
淞发路,121.5003,31.3452,宝山区
巨峰路,121.5884,31.2807,浦东新区
东靖路,121.5888,31.2906,浦东新区
东陆路,121.579,31.2825,浦东新区
杨高北路,121.603,31.2801,浦东新区
金京路,121.6155,31.2799,浦东新区
洲海路,121.5895,31.3122,浦东新区
航津路,121.5939,31.3353,浦东新区
港城路,121.575,31.3532,浦东新区
淞滨路,121.4927,31.371,宝山区
高桥,121.5629,31.3527,浦东新区
上海汽车城,121.1808,31.2854,嘉定区
南翔,121.3231,31.297,嘉定区
陈翔公路,121.3067,31.3065,嘉定区
嘉戬公路,121.281,31.3772,嘉定区
嘉定北,121.2374,31.3915,嘉定区
城北路,121.2349,31.3937,嘉定区
武威东路,121.392,31.2757,普陀区
祁华路,121.3735,31.3224,宝山区
锦秋路,121.3819,31.3202,宝山区
上大路,121.4086,31.315,宝山区
南陈路,121.3988,31.3215,宝山区
大华三路,121.4229,31.274,宝山区
彭越浦路,121.4392,31.2765,静安区
汶水路,121.4502,31.2926,静安区
大场镇,121.4166,31.2933,宝山区
广中路,121.4691,31.2799,虹口区
广灵四路,121.4658,31.286,虹口区
赤峰路,121.4823,31.2813,虹口区
大柏树,121.4833,31.2894,虹口区
江湾镇,121.485,31.3056,虹口区
汾西路,121.468,31.3139,静安区
殷高西路,121.4848,31.3201,宝山区
长江西路,121.4758,31.3446,宝山区
一二八纪念路,121.4674,31.3288,宝山区
通河新村,121.4416,31.3312,宝山区
爱辉路,121.4483,31.3438,宝山区
共富新村,121.4341,31.3551,宝山区
宝安公路,121.431,31.3696,宝山区
宝杨路,121.4796,31.3953,宝山区
友谊路,121.476,31.4041,宝山区
富锦路,121.4247,31.3922,宝山区
江杨北路,121.4398,31.4079,宝山区
潘广路,121.3559,31.3642,宝山区
罗南新村,121.3575,31.3888,宝山区
环城东路,121.4633,30.9311,奉贤区
泗泾,121.2603,31.1183,松江区
江川路,121.4234,31.0054,闵行区
中春路,121.3377,31.1494,闵行区
上海南站,121.43,31.1545,徐汇区
东方体育中心,121.4804,31.1533,浦东新区
大木桥路,121.4633,31.1941,徐汇区
桂林路,121.4181,31.1747,徐汇区
上海体育馆,121.4374,31.1828,徐汇区
虹桥路,121.4208,31.1974,长宁区
肇嘉浜路,121.4502,31.1994,徐汇区
上海图书馆,121.4444,31.2081,徐汇区
常熟路,121.4492,31.2136,徐汇区
昌平路,121.4426,31.2337,静安区
武定路,121.4361,31.2273,静安区
江苏路,121.4306,31.2205,长宁区
隆德路,121.4235,31.2306,普陀区
武宁路,121.4304,31.2343,普陀区
嘉善路,121.4608,31.2029,徐汇区
鲁班路,121.4752,31.1992,黄浦区
西藏南路,121.4895,31.202,黄浦区
陆家浜路,121.4861,31.2118,黄浦区
马当路,121.4772,31.2096,黄浦区
一大会址·新天地,121.4753,31.2164,黄浦区
老西门,121.4838,31.2189,黄浦区
豫园,121.4875,31.2279,黄浦区
大世界,121.4791,31.2273,黄浦区
人民广场,121.4751,31.2328,黄浦区
淮海中路,121.4645,31.2203,黄浦区
南京西路,121.4599,31.2299,静安区
自然博物馆,121.4625,31.2365,静安区
新闸路,121.4682,31.2383,黄浦区
上海火车站,121.458,31.2495,静安区
曲阜路,121.4716,31.2424,静安区
四川北路,121.4842,31.252,虹口区
海伦路,121.4887,31.2594,虹口区
甜爱路,121.4837,31.2662,虹口区
虹口足球场,121.4792,31.2714,虹口区
西藏北路,121.4688,31.2634,静安区
延长路,121.4554,31.2717,静安区
曹杨路,121.4176,31.2393,普陀区
镇坪路,121.4298,31.2464,普陀区
长寿路,121.4383,31.2409,普陀区
江宁路,121.4448,31.2443,普陀区
中潭路,121.4409,31.2546,普陀区
岚皋路,121.4219,31.2563,普陀区
平利路,121.4307,31.2694,普陀区
淞虹路,121.3597,31.2181,长宁区
威宁路,121.3872,31.215,长宁区
北新泾,121.3739,31.2164,长宁区
红宝石路,121.3985,31.1989,长宁区
长风公园,121.3963,31.2253,普陀区
真北路,121.382,31.2321,普陀区
枫桥路,121.4115,31.2419,普陀区
上海西站,121.4009,31.2628,普陀区
祁连山南路,121.3673,31.2377,普陀区
虹桥2号航站楼,121.3262,31.1943,闵行区
虹桥火车站,121.319,31.1939,闵行区
淀山湖大道,121.0822,31.1344,青浦区
川沙,121.6982,31.1867,浦东新区
浦东国际机场,121.8064,31.1495,浦东新区
杨思,121.4933,31.161,浦东新区
下南路,121.5403,31.1794,浦东新区
锦绣路,121.5401,31.1875,浦东新区
成山路,121.4963,31.1705,浦东新区
中华艺术宫,121.4937,31.1853,浦东新区
御桥,121.5709,31.1581,浦东新区
台儿庄路,121.5975,31.2528,浦东新区
金桥路,121.5819,31.2571,浦东新区
五莲路,121.5878,31.272,浦东新区
南浦大桥,121.4997,31.2086,黄浦区
小南门,121.4984,31.2169,黄浦区
蓝村路,121.5277,31.2117,浦东新区
花木路,121.5627,31.2113,浦东新区
德平路,121.5642,31.2454,浦东新区
宁国路,121.5323,31.2685,杨浦区
陆家嘴,121.5021,31.2382,浦东新区
提篮桥,121.5067,31.2536,虹口区
浦东南路,121.5125,31.2386,浦东新区
杨树浦路,121.5171,31.2519,虹口区
平凉路,121.5267,31.2591,杨浦区
周家嘴路,121.5,31.2598,虹口区
临平路,121.5007,31.2608,虹口区
邮电新村,121.4943,31.2683,虹口区
曲阳路,121.4911,31.2766,虹口区
同济大学,121.5063,31.2821,杨浦区
江浦路,121.5183,31.275,杨浦区
