Field1,经度,纬度,行政区
江湾镇,121.4805087,31.30754221,虹口区
汾西路,121.4634516,31.31579192,静安区
殷高西路,121.4803068,31.32203613,宝山区
长江西路,121.471274,31.34650177,宝山区
一二八纪念路,121.4628485,31.33068486,宝山区
通河新村,121.436981,31.33302782,宝山区
爱辉路,121.4436947,31.34563576,宝山区
共富新村,121.4294649,31.35690784,宝山区
宝安公路,121.4263586,31.371399,宝山区
宝杨路,121.4750824,31.39719652,宝山区
友谊路,121.4714695,31.40598398,宝山区
富锦路,121.420048,31.39398504,宝山区
江杨北路,121.4351707,31.40970072,宝山区
潘广路,121.3512856,31.36602402,宝山区
罗南新村,121.3528804,31.39061395,宝山区
环城东路,121.4587703,30.93318053,奉贤区
泗泾,121.2558801,31.12037725,松江区
江川路,121.4187801,31.00736636,闵行区
中春路,121.3331422,31.15134909,闵行区
上海南站,121.4253758,31.15638971,徐汇区
东方体育中心,121.4759059,31.15529908,浦东新区
大木桥路,121.4587477,31.19603256,徐汇区
桂林路,121.4134602,31.17656775,徐汇区
上海体育馆,121.4327857,31.18468549,徐汇区
虹桥路,121.4161607,31.19925847,长宁区
肇嘉浜路,121.4456118,31.20130031,徐汇区
上海图书馆,121.4397977,31.20998485,徐汇区
常熟路,121.4446082,31.21549142,徐汇区
昌平路,121.4379916,31.23556958,静安区
武定路,121.4314795,31.22916197,静安区
江苏路,121.425971,31.22235758,长宁区
隆德路,121.4188607,31.23244504,普陀区
武宁路,121.4257695,31.23615092,普陀区
嘉善路,121.4562397,31.20482217,徐汇区
鲁班路,121.4706845,31.20116122,黄浦区
西藏南路,121.4850335,31.20400092,黄浦区
陆家浜路,121.4816206,31.21378618,黄浦区
马当路,121.4726903,31.21156173,黄浦区
新天地,121.4707834,31.21835321,黄浦区
老西门,121.479312,31.2208761,黄浦区
豫园,121.4830242,31.22988269,黄浦区
大世界,121.4745952,31.2292587,黄浦区
人民广场,121.4705813,31.23474499,黄浦区
淮海中路,121.459949,31.2222229,黄浦区
南京西路,121.4553348,31.23180722,静安区
自然博物馆,121.4579417,31.23841044,静安区
新闸路,121.4636587,31.240224,黄浦区
上海火车站,121.4534278,31.25139389,静安区
曲阜路,121.4670691,31.24433111,静安区
四川北路,121.4797106,31.25396212,虹口区
海伦路,121.4842257,31.26137206,虹口区
甜爱路,121.4792076,31.26815449,虹口区
虹口足球场,121.4746917,31.27333939,虹口区
西藏北路,121.4642585,31.26531444,静安区
延长路,121.4508188,31.27357838,静安区
曹杨路,121.4129542,31.24113625,普陀区
镇坪路,121.4251676,31.2482447,普陀区
长寿路,121.4336824,31.24275912,普陀区
江宁路,121.4401954,31.24616873,普陀区
中潭路,121.4362863,31.25645726,普陀区
岚皋路,121.4172567,31.25813202,普陀区
平利路,121.4260669,31.27123579,普陀区
淞虹路,121.3550912,31.21997655,长宁区
威宁路,121.3825555,31.21684731,长宁区
